plan_id,issuer_name,plan_name,formulary_group,suggested_formulary_source
AZBLUE-STANDARDHEALTH-WITH-HEALTH-CHOICE-SILVER-6000,AZ Blue,StandardHealth with Health Choice Silver 6000,AZBLUE_EXCHANGE_2026,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-STANDARDHEALTH-WITH-HEALTH-CHOICE-SILVER-4,AZ Blue,StandardHealth with Health Choice Silver 4,AZBLUE_EXCHANGE_2026,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-STANDARDHEALTH-WITH-HEALTH-CHOICE-SILVER-5,AZ Blue,StandardHealth with Health Choice Silver 5,AZBLUE_EXCHANGE_2026,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-STANDARDHEALTH-WITH-HEALTH-CHOICE-SILVER-6,AZ Blue,StandardHealth with Health Choice Silver 6,AZBLUE_EXCHANGE_2026,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-EVERYDAYHEALTH-PROSANO-ZERO-COST-SHARE,AZ Blue,EverydayHealth Prosano Zero Cost Share,AZBLUE_EXCHANGE_2026_ZCS,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-HMO-ZERO-COST-SHARE,AZ Blue,HMO Zero Cost Share,AZBLUE_EXCHANGE_2026_ZCS,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-ADVANCEHEALTH-ZCS,AZ Blue,AdvanceHealth ZCS,AZBLUE_EXCHANGE_2026_ZCS,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-PORTFOLIO-ZCS,AZ Blue,Portfolio ZCS,AZBLUE_EXCHANGE_2026_ZCS,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-STANDARDHEALTH-ZCS,AZ Blue,StandardHealth ZCS,AZBLUE_EXCHANGE_2026_ZCS,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AZBLUE-ACA-STANDARDHEALTH-WITH-HEALTH-CHOICE-ZERO-COST-SHARE,AZ Blue,ACA StandardHealth with Health Choice Zero Cost Share,AZBLUE_EXCHANGE_2026_ZCS,BCBSAZ_2023_7_Tier_Exchange_Member.pdf (proxy uploaded); live 2026 formulary groups on AZ Blue site
AMB-PREMIER-BRONZE-2026,Ambetter from Arizona Complete Health,Ambetter Health Premier Bronze,AMBETTER_AZ_2026,2026-az-formulary.pdf
AMB-PREMIER-SILVER-2026,Ambetter from Arizona Complete Health,Ambetter Health Premier Silver,AMBETTER_AZ_2026,2026-az-formulary.pdf
AMB-PREMIER-GOLD-2026,Ambetter from Arizona Complete Health,Ambetter Health Premier Gold,AMBETTER_AZ_2026,2026-az-formulary.pdf
AMB-SOLUTIONS-BRONZE-2026,Ambetter from Arizona Complete Health,Ambetter Health Solutions Bronze,AMBETTER_AZ_2026,2026-az-formulary.pdf
AMB-SOLUTIONS-SILVER-2026,Ambetter from Arizona Complete Health,Ambetter Health Solutions Silver,AMBETTER_AZ_2026,2026-az-formulary.pdf
AMB-SOLUTIONS-GOLD-2026,Ambetter from Arizona Complete Health,Ambetter Health Solutions Gold,AMBETTER_AZ_2026,2026-az-formulary.pdf
OSCAR-BRONZE-2026-AZ,Oscar,Oscar Bronze,OSCAR_AZ_2026,Oscar formulary/member docs not yet parsed into formulary_drugs.csv
OSCAR-SILVER-2026-AZ,Oscar,Oscar Silver,OSCAR_AZ_2026,Oscar formulary/member docs not yet parsed into formulary_drugs.csv
OSCAR-GOLD-2026-AZ,Oscar,Oscar Gold,OSCAR_AZ_2026,Oscar formulary/member docs not yet parsed into formulary_drugs.csv
UHC-AZ-ACA-BRONZE-2026,UnitedHealthcare,UnitedHealthcare Arizona ACA Bronze,UHC_AZ_2026,IFP2895550-AZ_UHC_IFP_PY26.pdf
UHC-AZ-ACA-SILVER-2026,UnitedHealthcare,UnitedHealthcare Arizona ACA Silver,UHC_AZ_2026,IFP2895550-AZ_UHC_IFP_PY26.pdf
UHC-AZ-ACA-GOLD-2026,UnitedHealthcare,UnitedHealthcare Arizona ACA Gold,UHC_AZ_2026,IFP2895550-AZ_UHC_IFP_PY26.pdf
UHC-AZ-ESSENTIAL-BRONZE-2026,UnitedHealthcare,UnitedHealthcare Essential Bronze,UHC_AZ_2026,IFP2895550-AZ_UHC_IFP_PY26.pdf
UHC-AZ-VALUE-BRONZE-2026,UnitedHealthcare,UnitedHealthcare Value Bronze,UHC_AZ_2026,IFP2895550-AZ_UHC_IFP_PY26.pdf
UHC-AZ-VALUE-SILVER-2026,UnitedHealthcare,UnitedHealthcare Value Silver,UHC_AZ_2026,IFP2895550-AZ_UHC_IFP_PY26.pdf
UHC-AZ-VALUE-GOLD-2026,UnitedHealthcare,UnitedHealthcare Value Gold,UHC_AZ_2026,IFP2895550-AZ_UHC_IFP_PY26.pdf
UHC-AZ-ADVANTAGE-2026,UnitedHealthcare,UnitedHealthcare Advantage,UHC_AZ_2026,IFP2895550-AZ_UHC_IFP_PY26.pdf
UHC-AZ-COPAY-FOCUS-2026,UnitedHealthcare,UnitedHealthcare Copay Focus,UHC_AZ_2026,IFP2895550-AZ_UHC_IFP_PY26.pdf
UHC-AZ-STANDARD-2026,UnitedHealthcare,UnitedHealthcare Standard,UHC_AZ_2026,IFP2895550-AZ_UHC_IFP_PY26.pdf
