plan_id,issuer_name,plan_name,plan_family,state,county,plan_year,market,metal_level,source_type,source_ref,formulary_group,notes
AZBLUE-ADVANCEHEALTH-GOLD-4800,AZ Blue,AdvanceHealth Gold 4800,AdvanceHealth,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Gold,exact_plan_name_from_public_2026_page,AZBlue 2026 exchange documents page,AZBLUE_EXCHANGE_2026,Exact plan name listed on AZ Blue's 2026 on-exchange documents page.
AZBLUE-ADVANCEHEALTH-SILVER-7200,AZ Blue,AdvanceHealth Silver 7200,AdvanceHealth,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Silver,exact_plan_name_from_public_2026_page,AZBlue 2026 exchange documents page,AZBLUE_EXCHANGE_2026,Exact plan name listed on AZ Blue's 2026 on-exchange documents page.
AZBLUE-ADVANCEHEALTH-BRONZE-10150,AZ Blue,AdvanceHealth Bronze 10150,AdvanceHealth,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Bronze,exact_plan_name_from_public_2026_page,AZBlue 2026 exchange documents page,AZBLUE_EXCHANGE_2026,Exact plan name listed on AZ Blue's 2026 on-exchange documents page.
AZBLUE-ADVANCEHEALTH-SILVER-4,AZ Blue,AdvanceHealth Silver 4,AdvanceHealth,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Silver,exact_plan_name_from_public_2026_page,AZBlue 2026 exchange documents page,AZBLUE_EXCHANGE_2026,Exact plan name listed on AZ Blue's 2026 on-exchange documents page.
AZBLUE-ADVANCEHEALTH-SILVER-5,AZ Blue,AdvanceHealth Silver 5,AdvanceHealth,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Silver,exact_plan_name_from_public_2026_page,AZBlue 2026 exchange documents page,AZBLUE_EXCHANGE_2026,Exact plan name listed on AZ Blue's 2026 on-exchange documents page.
AZBLUE-ADVANCEHEALTH-SILVER-6,AZ Blue,AdvanceHealth Silver 6,AdvanceHealth,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Silver,exact_plan_name_from_public_2026_page,AZBlue 2026 exchange documents page,AZBLUE_EXCHANGE_2026,Exact plan name listed on AZ Blue's 2026 on-exchange documents page.
AZBLUE-PORTFOLIO-HSA-BRONZE-7100,AZ Blue,Portfolio HSA Bronze 7100,Portfolio HSA,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Bronze,exact_plan_name_from_public_2026_page,AZBlue 2026 exchange documents page,AZBLUE_EXCHANGE_2026,Exact plan name listed on AZ Blue's 2026 on-exchange documents page.
AZBLUE-STANDARDHEALTH-GOLD-2000,AZ Blue,StandardHealth Gold 2000,StandardHealth,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Gold,exact_plan_name_from_public_2026_page,AZBlue 2026 exchange documents page,AZBLUE_EXCHANGE_2026,Exact plan name listed on AZ Blue's 2026 on-exchange documents page.
AZBLUE-STANDARDHEALTH-SILVER-6000,AZ Blue,StandardHealth Silver 6000,StandardHealth,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Silver,exact_plan_name_from_public_2026_page,AZBlue 2026 exchange documents page,AZBLUE_EXCHANGE_2026,Exact plan name listed on AZ Blue's 2026 on-exchange documents page.
AZBLUE-STANDARDHEALTH-BRONZE-7500,AZ Blue,StandardHealth Bronze 7500,StandardHealth,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Bronze,exact_plan_name_from_public_2026_page,AZBlue 2026 exchange documents page,AZBLUE_EXCHANGE_2026,Exact plan name listed on AZ Blue's 2026 on-exchange documents page.
AZBLUE-STANDARDHEALTH-SILVER-4,AZ Blue,StandardHealth Silver 4,StandardHealth,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Silver,exact_plan_name_from_public_2026_page,AZBlue 2026 exchange documents page,AZBLUE_EXCHANGE_2026,Exact plan name listed on AZ Blue's 2026 on-exchange documents page.
AZBLUE-STANDARDHEALTH-SILVER-5,AZ Blue,StandardHealth Silver 5,StandardHealth,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Silver,exact_plan_name_from_public_2026_page,AZBlue 2026 exchange documents page,AZBLUE_EXCHANGE_2026,Exact plan name listed on AZ Blue's 2026 on-exchange documents page.
AZBLUE-STANDARDHEALTH-SILVER-6,AZ Blue,StandardHealth Silver 6,StandardHealth,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Silver,exact_plan_name_from_public_2026_page,AZBlue 2026 exchange documents page,AZBLUE_EXCHANGE_2026,Exact plan name listed on AZ Blue's 2026 on-exchange documents page.
AZBLUE-STANDARDHEALTH-WITH-HEALTH-CHOICE-SILVER-6000,AZ Blue,StandardHealth with Health Choice Silver 6000,StandardHealth with Health Choice,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Silver,exact_plan_name_from_public_2026_page,AZBlue 2026 exchange documents page,AZBLUE_EXCHANGE_2026,Exact plan name listed on AZ Blue's 2026 on-exchange documents page.
AZBLUE-STANDARDHEALTH-WITH-HEALTH-CHOICE-SILVER-4,AZ Blue,StandardHealth with Health Choice Silver 4,StandardHealth with Health Choice,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Silver,exact_plan_name_from_public_2026_page,AZBlue 2026 exchange documents page,AZBLUE_EXCHANGE_2026,Exact plan name listed on AZ Blue's 2026 on-exchange documents page.
AZBLUE-STANDARDHEALTH-WITH-HEALTH-CHOICE-SILVER-5,AZ Blue,StandardHealth with Health Choice Silver 5,StandardHealth with Health Choice,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Silver,exact_plan_name_from_public_2026_page,AZBlue 2026 exchange documents page,AZBLUE_EXCHANGE_2026,Exact plan name listed on AZ Blue's 2026 on-exchange documents page.
AZBLUE-STANDARDHEALTH-WITH-HEALTH-CHOICE-SILVER-6,AZ Blue,StandardHealth with Health Choice Silver 6,StandardHealth with Health Choice,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Silver,exact_plan_name_from_public_2026_page,AZBlue 2026 exchange documents page,AZBLUE_EXCHANGE_2026,Exact plan name listed on AZ Blue's 2026 on-exchange documents page.
AZBLUE-EVERYDAYHEALTH-PROSANO-ZERO-COST-SHARE,AZ Blue,EverydayHealth Prosano Zero Cost Share,EverydayHealth Prosano,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Zero Cost Share,exact_plan_name_from_public_2026_page,AZBlue 2026 zero-cost-share exchange page,AZBLUE_EXCHANGE_2026_ZCS,Exact zero-cost-share plan name listed on AZ Blue's 2026 zero-cost-share page.
AZBLUE-HMO-ZERO-COST-SHARE,AZ Blue,HMO Zero Cost Share,Base Exchange,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Zero Cost Share,exact_plan_name_from_public_2026_page,AZBlue 2026 zero-cost-share exchange page,AZBLUE_EXCHANGE_2026_ZCS,Exact zero-cost-share plan name listed on AZ Blue's 2026 zero-cost-share page.
AZBLUE-ADVANCEHEALTH-ZCS,AZ Blue,AdvanceHealth ZCS,AdvanceHealth,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Zero Cost Share,exact_plan_name_from_public_2026_page,AZBlue 2026 zero-cost-share exchange page,AZBLUE_EXCHANGE_2026_ZCS,Exact zero-cost-share plan name listed on AZ Blue's 2026 zero-cost-share page.
AZBLUE-PORTFOLIO-ZCS,AZ Blue,Portfolio ZCS,Portfolio,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Zero Cost Share,exact_plan_name_from_public_2026_page,AZBlue 2026 zero-cost-share exchange page,AZBLUE_EXCHANGE_2026_ZCS,Exact zero-cost-share plan name listed on AZ Blue's 2026 zero-cost-share page.
AZBLUE-STANDARDHEALTH-ZCS,AZ Blue,StandardHealth ZCS,StandardHealth,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Zero Cost Share,exact_plan_name_from_public_2026_page,AZBlue 2026 zero-cost-share exchange page,AZBLUE_EXCHANGE_2026_ZCS,Exact zero-cost-share plan name listed on AZ Blue's 2026 zero-cost-share page.
AZBLUE-ACA-STANDARDHEALTH-WITH-HEALTH-CHOICE-ZERO-COST-SHARE,AZ Blue,ACA StandardHealth with Health Choice Zero Cost Share,StandardHealth with Health Choice,AZ,STATEWIDE_OR_UNKNOWN,2026,ACA On-Exchange,Zero Cost Share,exact_plan_name_from_public_2026_page,AZBlue 2026 zero-cost-share exchange page,AZBLUE_EXCHANGE_2026_ZCS,Exact zero-cost-share plan name listed on AZ Blue's 2026 zero-cost-share page.
AMB-PREMIER-BRONZE-2026,Ambetter from Arizona Complete Health,Ambetter Health Premier Bronze,Ambetter Health Premier,AZ,Varies by county,2026,ACA Marketplace,Bronze,plan_family_metal_from_public_page,Ambetter Arizona health plans page,AMBETTER_AZ_2026,"Public site says Premier plans are available for 2026 in bronze, silver, and gold; plans may vary by county."
AMB-PREMIER-SILVER-2026,Ambetter from Arizona Complete Health,Ambetter Health Premier Silver,Ambetter Health Premier,AZ,Varies by county,2026,ACA Marketplace,Silver,plan_family_metal_from_public_page,Ambetter Arizona health plans page,AMBETTER_AZ_2026,"Public site says Premier plans are available for 2026 in bronze, silver, and gold; plans may vary by county."
AMB-PREMIER-GOLD-2026,Ambetter from Arizona Complete Health,Ambetter Health Premier Gold,Ambetter Health Premier,AZ,Varies by county,2026,ACA Marketplace,Gold,plan_family_metal_from_public_page,Ambetter Arizona health plans page,AMBETTER_AZ_2026,"Public site says Premier plans are available for 2026 in bronze, silver, and gold; plans may vary by county."
AMB-SOLUTIONS-BRONZE-2026,Ambetter from Arizona Complete Health,Ambetter Health Solutions Bronze,Ambetter Health Solutions,AZ,Varies by county,2026,Off-Exchange / ICHRA / QSEHRA,Bronze,plan_family_metal_from_public_page,Ambetter Arizona health plans page,AMBETTER_AZ_2026,"Public site says Ambetter Health Solutions plans are available for 2026 in bronze, silver, and gold."
AMB-SOLUTIONS-SILVER-2026,Ambetter from Arizona Complete Health,Ambetter Health Solutions Silver,Ambetter Health Solutions,AZ,Varies by county,2026,Off-Exchange / ICHRA / QSEHRA,Silver,plan_family_metal_from_public_page,Ambetter Arizona health plans page,AMBETTER_AZ_2026,"Public site says Ambetter Health Solutions plans are available for 2026 in bronze, silver, and gold."
AMB-SOLUTIONS-GOLD-2026,Ambetter from Arizona Complete Health,Ambetter Health Solutions Gold,Ambetter Health Solutions,AZ,Varies by county,2026,Off-Exchange / ICHRA / QSEHRA,Gold,plan_family_metal_from_public_page,Ambetter Arizona health plans page,AMBETTER_AZ_2026,"Public site says Ambetter Health Solutions plans are available for 2026 in bronze, silver, and gold."
OSCAR-BRONZE-2026-AZ,Oscar,Oscar Bronze,Oscar Individual & Family,AZ,"Maricopa, Pima, Pinal, Santa Cruz",2026,ACA Marketplace,Bronze,plan_family_metal_from_press_release,Oscar Arizona 2026 press release,OSCAR_AZ_2026,"Oscar says Bronze, Silver, and Gold plans will be available in Maricopa, Pima, Pinal, and Santa Cruz counties starting Jan. 1, 2026."
OSCAR-SILVER-2026-AZ,Oscar,Oscar Silver,Oscar Individual & Family,AZ,"Maricopa, Pima, Pinal, Santa Cruz",2026,ACA Marketplace,Silver,plan_family_metal_from_press_release,Oscar Arizona 2026 press release,OSCAR_AZ_2026,"Oscar says Bronze, Silver, and Gold plans will be available in Maricopa, Pima, Pinal, and Santa Cruz counties starting Jan. 1, 2026."
OSCAR-GOLD-2026-AZ,Oscar,Oscar Gold,Oscar Individual & Family,AZ,"Maricopa, Pima, Pinal, Santa Cruz",2026,ACA Marketplace,Gold,plan_family_metal_from_press_release,Oscar Arizona 2026 press release,OSCAR_AZ_2026,"Oscar says Bronze, Silver, and Gold plans will be available in Maricopa, Pima, Pinal, and Santa Cruz counties starting Jan. 1, 2026."
UHC-AZ-ACA-BRONZE-2026,UnitedHealthcare,UnitedHealthcare Arizona ACA Bronze,UnitedHealthcare Arizona ACA Marketplace,AZ,Varies by county,2026,ACA Marketplace,Bronze,marketplace_metal_row_from_public_pages,UHC Arizona and Marketplace pages,UHC_AZ_2026,"UHC Arizona public pages say Arizona ACA plans are available and organized into Bronze, Silver, and Gold metal levels."
UHC-AZ-ACA-SILVER-2026,UnitedHealthcare,UnitedHealthcare Arizona ACA Silver,UnitedHealthcare Arizona ACA Marketplace,AZ,Varies by county,2026,ACA Marketplace,Silver,marketplace_metal_row_from_public_pages,UHC Arizona and Marketplace pages,UHC_AZ_2026,"UHC Arizona public pages say Arizona ACA plans are available and organized into Bronze, Silver, and Gold metal levels."
UHC-AZ-ACA-GOLD-2026,UnitedHealthcare,UnitedHealthcare Arizona ACA Gold,UnitedHealthcare Arizona ACA Marketplace,AZ,Varies by county,2026,ACA Marketplace,Gold,marketplace_metal_row_from_public_pages,UHC Arizona and Marketplace pages,UHC_AZ_2026,"UHC Arizona public pages say Arizona ACA plans are available and organized into Bronze, Silver, and Gold metal levels."
UHC-AZ-ESSENTIAL-BRONZE-2026,UnitedHealthcare,UnitedHealthcare Essential Bronze,Essential,AZ,Varies by county,2026,Off-Exchange direct / agent,Bronze,plan_type_from_public_article,UHC ACA plan types article,UHC_AZ_2026,UHC says Essential plans are available only at the Bronze metal level and only off-exchange.
UHC-AZ-VALUE-BRONZE-2026,UnitedHealthcare,UnitedHealthcare Value Bronze,Value,AZ,Varies by county,2026,ACA Marketplace,Bronze,plan_type_metal_from_public_article,UHC ACA plan types article,UHC_AZ_2026,UHC says Value plans are available in all markets and on all metal levels.
UHC-AZ-VALUE-SILVER-2026,UnitedHealthcare,UnitedHealthcare Value Silver,Value,AZ,Varies by county,2026,ACA Marketplace,Silver,plan_type_metal_from_public_article,UHC ACA plan types article,UHC_AZ_2026,UHC says Value plans are available in all markets and on all metal levels.
UHC-AZ-VALUE-GOLD-2026,UnitedHealthcare,UnitedHealthcare Value Gold,Value,AZ,Varies by county,2026,ACA Marketplace,Gold,plan_type_metal_from_public_article,UHC ACA plan types article,UHC_AZ_2026,UHC says Value plans are available in all markets and on all metal levels.
UHC-AZ-ADVANTAGE-2026,UnitedHealthcare,UnitedHealthcare Advantage,Advantage,AZ,Varies by county,2026,ACA Marketplace,Mixed/Unknown,plan_type_family_from_public_page,UHC ACA navigators/assisters page,UHC_AZ_2026,UHC lists this as one of its ACA Marketplace plan types; metal-specific Arizona rows were not exposed on the public page fetched here.
UHC-AZ-COPAY-FOCUS-2026,UnitedHealthcare,UnitedHealthcare Copay Focus,Copay Focus,AZ,Varies by county,2026,ACA Marketplace,Mixed/Unknown,plan_type_family_from_public_page,UHC ACA navigators/assisters page,UHC_AZ_2026,UHC lists this as one of its ACA Marketplace plan types; metal-specific Arizona rows were not exposed on the public page fetched here.
UHC-AZ-STANDARD-2026,UnitedHealthcare,UnitedHealthcare Standard,Standard,AZ,Varies by county,2026,ACA Marketplace,Mixed/Unknown,plan_type_family_from_public_page,UHC ACA navigators/assisters page,UHC_AZ_2026,UHC lists this as one of its ACA Marketplace plan types; metal-specific Arizona rows were not exposed on the public page fetched here.
